旧值,新值,旧翻译,新翻译
レッスン中1回,に移動,训练中仅限1次,
強気,</nobr>,强气,
<nobr>+,強気,<nobr>+,
4,の場合、,4,
全力値,</nobr>,全力值,
に変更,全力値,变更,
レッスン中1回,に変更,训练中仅限1次,
3,熱意追加,3,
すべてのスキルカードの,</nobr>,所有的技能卡的,
レッスン中1回,-1,训练中仅限1次,
6,熱意追加,6,
7,熱意追加,7,
+8,次のターン、,+8,
 ,手札の, ,
元気,+8,元气,
<nobr>+, ,<nobr>+,
の場合、,アクティブスキルカード,的时候，,
熱意追加,使用後、,热意追加,
</nobr>,熱意追加,</nobr>,
の場合、,メンタルスキルカード,的时候，,
熱意増加,使用後、,热意增加,
50,の場合、,50,
を変更した回数が4回以上の場合、使用可,を変更した回数が<nobr>4回以上</nobr>の場合、使用可,变更次数在4次以上的时候，可以使用,
パラメータ値増加,保留,打分值增加,
+5,にあるスキルカードの,+5,
保留,+5,保留,
スキルカード使用数追加,保留,技能卡使用数追加,
<nobr>+,にあるスキルカードをコストを消費せず使用,<nobr>+,
温存,1,温存,
に変更,</nobr>,变更,
[移動時効果],温存,[移动时效果],
手札に移動した時、
,に変更,移动到手牌时，
,
山札か捨札にあるスキルカードを選択し、, ,选择牌堆或弃牌中的技能卡，向,
 </nobr>,山札か捨札にあるスキルカードを選択し、, </nobr>,
温存,枚</nobr>引く,温存,
<nobr>+1</nobr>,温存,<nobr>+1</nobr>,
強気,ターン追加,强气,
になった回数が2回以上の場合、,<nobr>+1</nobr>,存在次数在2次以上的时候，,
全力,になった回数が<nobr>2回以上</nobr>の場合、,全力,
になった回数が2回以上の場合、,ターン追加,存在次数在2次以上的时候，,
ターン追加,<nobr>+1</nobr>,回合追加,
以降,全力,之后,
3,になった回数が<nobr>2回以上</nobr>の場合、,3,
回まで、,ターン追加,次为限，,
残り3ターン以内の場合、,<nobr>+1</nobr>,剩余3回合内的时候，,
パラメータ上昇量増加,以降,打分上升量增加,
150,回まで、,150,
%</nobr>（<nobr>,残り<nobr>3ターン以内</nobr>の場合、,%</nobr>（<nobr>,
1,全力,1,
ターン</nobr>）,になった時、,回合</nobr>）,
<nobr>,%</nobr>（<nobr>,<nobr>,
 </nobr>,ターン</nobr>）, </nobr>,
になった回数が2回以上の場合、使用可,になった回数が<nobr>2回以上</nobr>の場合、使用可,存在次数在2次以上的时候，可以使用,
スキルカード使用数追加,に変更,技能卡使用数追加,
アクティブスキルカード,1,主动技能卡,
の,</nobr>,的,
コスト値増加,アクティブスキルカード,花费值增加,
<nobr>,コスト値増加,<nobr>,
重複不可,+1,不可重复,
全力値,全力,全力值,
<nobr>+,効果のスキルカード使用時、,<nobr>+,
の,アクティブスキルカード,的,
パラメータ値増加,の,打分值增加,
+13・,パラメータ値増加,+13・,
コスト値増加,+13・,花费值增加,
+1,コスト値増加,+1,
+16・,パラメータ値増加,+16・,
コスト値増加,+16・,花费值增加,
+18・,パラメータ値増加,+18・,
コスト値増加,+18・,花费值增加,
+20・,パラメータ値増加,+20・,
を解除後、非,3,被解除后，非,
に変更,全力,变更,
指針固定,1,指针固定,
山札か捨札にあるスキルカードを選択し、,</nobr>,选择牌堆或弃牌中的技能卡，向,
指針固定,<nobr>+,指针固定,
の,メンタルスキルカード,的,
元気値増加,の,元气值增加,
+5・,元気値増加,+5・,
コスト値増加,+5・,花费值增加,
+6・,元気値増加,+6・,
コスト値増加,+6・,花费值增加,
+7・,元気値増加,+7・,
コスト値増加,+7・,花费值增加,
+8・,元気値増加,+8・,
コスト値増加,+8・,花费值增加,
50,全力値増加量増加,50,
眠気,スキルカードを<nobr>,睡意,
を,2,向,
山札のランダムな位置,枚</nobr>引く,牌堆的随机位置,
4,50,4,
100,熱意増加,100,
を,3,向,
150,熱意増加,150,
3,150,3,
+1,手札の,+1,
手札の,1,手牌的,
パラメータ上昇回数増加,</nobr>,打分上升次数增加,
<nobr>,パラメータ上昇回数増加,<nobr>,
保留,山札か捨札にあるスキルカードを<nobr>2枚まで</nobr>選択し、,保留,
パラメータ上昇回数増加,保留,打分上升次数增加,
+1・,にあるスキルカードの,+1・,
コスト値増加,パラメータ上昇回数増加,花费值增加,
+6,+1・,+6,
次のターン、,+6,下个回合，,
5,次のターン、,5,
+2,+1・,+2,
次のターン、,+2,下个回合，,
7,次のターン、,7,
強気,に変更,强气,
+37・,強気,+37・,
コスト値増加,効果のスキルカードの,花费值增加,
+7,パラメータ値増加,+7,
<nobr>,+7,<nobr>,
+45・,強気,+45・,
+48・,強気,+48・,
+52・,強気,+52・,
ターン開始時、いずれかの,以降、,回合开始时，任意的,
指針,ターン開始時、いずれかの,指针,
の場合、,指針,的时候，,
すべてのスキルカードの,の場合、,所有的技能卡的,
パラメータ値増加,すべてのスキルカードの,打分值增加,
+4,パラメータ値増加,+4,
+6,パラメータ値増加,+6,
指針,以降、,指针,
の場合、,ターン開始時、いずれかの,的时候，,
すべてのスキルカードの,指針,所有的技能卡的,
パラメータ値増加,の場合、,打分值增加,
+4,すべてのスキルカードの,+4,
7,全力値,7,
体力回復,</nobr>,体力回复,
</nobr>,体力回復,</nobr>,
山札にあるスキルカードを選択し、,2,选择牌堆中的技能卡，向,
保留,</nobr>,保留,
<nobr>,保留,<nobr>,
重複不可,に移動,不可重复,
山札にあるスキルカードを選択し、,3,选择牌堆中的技能卡，向,
山札にあるスキルカードを選択し、,4,选择牌堆中的技能卡，向,
温存,次のターン、,温存,
 ,に変更, ,
24,の場合、,24,
24,+,24,
次のターン、, ,下个回合，,
3,次のターン、,3,
24,全力,24,
</nobr>,の場合、,</nobr>,
以降の<nobr>,に変更,在之后的<nobr>,
温存,2,温存,
に変更,ターン</nobr>の間、,变更,
スキルカードを引く,に移動,抽取技能卡,
50,熱意増加,50,
メンタルスキルカード,以降,辅助技能卡,
使用時、非,3,使用时，非,
状態の場合、,メンタルスキルカード,状态的时候，,
全力値,使用時、非,全力值,
2,状態の場合、,2,
パラメータ,</nobr>,打分,
回</nobr>）,3,次</nobr>）,
の場合、,回</nobr>）,的时候，,
<nobr>,の場合、,<nobr>,
枚</nobr>引く,温存,张</nobr>,
回</nobr>）,7,次</nobr>）,
手札をすべて入れ替える,</nobr>,变更全部手牌,
重複不可,手札をすべて入れ替える,不可重复,
